Date,Wholesale broiler composite,OT,Retail-wholesale spread for broiler composite,date,start_date,end_date,fact,preds,text_source,text_start_date,text_end_date,text_age_days,text_window_days
1980-01-01,,93.3039576,,1980-01-01,1980-01-01,1980-01-31,No information available,No information available,none,,,,31
1980-02-01,,92.39119,,1980-02-01,1980-02-01,1980-02-29,No information available,No information available,none,,,,31
1980-03-01,,90.8114008,,1980-03-01,1980-03-01,1980-03-31,No information available,No information available,none,,,,31
1980-04-01,,88.235892,,1980-04-01,1980-04-01,1980-04-30,No information available,No information available,none,,,,31
1980-05-01,,88.5777142,,1980-05-01,1980-05-01,1980-05-31,No information available,No information available,none,,,,31
1980-06-01,,90.2793988,,1980-06-01,1980-06-01,1980-06-30,No information available,No information available,none,,,,31
1980-07-01,,97.53958,,1980-07-01,1980-07-01,1980-07-31,No information available,No information available,none,,,,31
1980-08-01,,101.2356736,,1980-08-01,1980-08-01,1980-08-31,No information available,No information available,none,,,,31
1980-09-01,,106.4478102,,1980-09-01,1980-09-01,1980-09-30,No information available,No information available,none,,,,31
1980-10-01,,105.8828064,,1980-10-01,1980-10-01,1980-10-31,"The supply of broilers and fryers in the southeastern United States was adequate, with moderate demand, as of September 30, 1980. Weights were desirable for the market, with U.S. grade ready-to-cook broilers available.",NAHere is the summarized information:;NA,search,1980-09-29,1980-10-05,26.0,31
1980-11-01,,104.6288648,,1980-11-01,1980-11-01,1980-11-30,No information available,No information available,none,,,,31
1980-12-01,,104.725368,,1980-12-01,1980-12-01,1980-12-31,No information available,No information available,none,,,,31
1981-01-01,,104.2318882,,1981-01-01,1981-01-01,1981-01-31,No information available,No information available,none,,,,31
1981-02-01,,105.2244048,,1981-02-01,1981-02-01,1981-02-28,No information available,No information available,none,,,,31
1981-03-01,,104.6880228,,1981-03-01,1981-03-01,1981-03-31,No information available,No information available,none,,,,31
1981-04-01,,100.7707424,,1981-04-01,1981-04-01,1981-04-30,"The United States had more than a year's supply of live poultry on hand by the end of 1980, leading to low demand from manufacturers.",NAHere is the filtered information:;NA,search,1981-04-13,1981-04-19,11.0,31
1981-05-01,,101.115754,,1981-05-01,1981-05-01,1981-05-31,No information available,No information available,none,,,,31
1981-06-01,,102.1674952,,1981-06-01,1981-06-01,1981-06-30,No information available,No information available,none,,,,31
1981-07-01,,108.646997,,1981-07-01,1981-07-01,1981-07-31,The poultry industry in the United States has a long history of using rendering.,NAHere is the summarized output:;NA,search,1981-06-29,1981-07-05,26.0,31
1981-08-01,,106.6293088,,1981-08-01,1981-08-01,1981-08-31,"The United States broiler market is not explicitly mentioned in the provided search results. However, it is mentioned that poultry is one of the non-traded goods in the agricultural sector.","NAIt appears that the search result is not relevant to United States Retail Broiler or Retail Chicken. The article seems to be discussing fish oils and soybean oil in diets for rainbow trout and broiler rations, which is not related to the retail market of broilers or chickens in the United States. Here is the output:;NA",search,1981-08-10,1981-08-16,15.0,31
1981-09-01,,104.562828,,1981-09-01,1981-09-01,1981-09-30,"The article discusses the electrical energy used and time consumed when cooking foods, specifically comparing chicken cooked electronically with conventionally cooked chicken, and broiler-fryers fried by three different methods.",NA;NA,search,1981-08-31,1981-09-06,24.0,31
1981-10-01,,104.2693858,,1981-10-01,1981-10-01,1981-10-31,NA (No relevant information about the current United States broiler market situation was found in these search results.),NA (No relevant information was found to make long-term predictions about the United States broiler market.) NA (This search result is not relevant to the United States broiler market);NA (No relevant information was found to make short-term predictions about the United States broiler market.),search,1981-10-12,1981-10-18,13.0,31
1981-11-01,,103.0037,,1981-11-01,1981-11-01,1981-11-30,No information available,No information available,none,,,,31
1981-12-01,,102.241345,,1981-12-01,1981-12-01,1981-12-31,No information available,No information available,none,,,,31
1982-01-01,,104.3393132,,1982-01-01,1982-01-01,1982-01-31,No information available,No information available,none,,,,31
1982-02-01,,105.041272,,1982-02-01,1982-02-01,1982-02-28,No information available,No information available,none,,,,31
1982-03-01,,102.7946548,,1982-03-01,1982-03-01,1982-03-31,NA (No relevant information found related to United States broiler market),"NA (No relevant information found related to United States broiler market) Note: The provided search results are not related to the United States broiler market, so no useful information can be extracted.It appears that the provided text is not related to United States Retail Broiler or Retail Chicken. The text seems to be a list of entities with their registration details, and none of them appear to be related to the US retail broiler or retail chicken industry. Here is the output:;NA (No relevant information found related to United States broiler market)",search,1982-03-01,1982-03-07,24.0,31
1982-04-01,,101.9488548,,1982-04-01,1982-04-01,1982-04-30,No information available,No information available,none,,,,31
1982-05-01,,103.4390286,,1982-05-01,1982-05-01,1982-05-31,No information available,No information available,none,,,,31
1982-06-01,,103.6612094,,1982-06-01,1982-06-01,1982-06-30,No information available,No information available,none,,,,31
1982-07-01,,105.4098888,,1982-07-01,1982-07-01,1982-07-31,No information available,No information available,none,,,,31
1982-08-01,,104.0789592,,1982-08-01,1982-08-01,1982-08-31,No information available,No information available,none,,,,31
1982-09-01,,103.5172,,1982-09-01,1982-09-01,1982-09-30,No information available,No information available,none,,,,31
1982-10-01,,102.4454076,,1982-10-01,1982-10-01,1982-10-31,No information available,No information available,none,,,,31
1982-11-01,,101.300239,,1982-11-01,1982-11-01,1982-11-30,No information available,No information available,none,,,,31
1982-12-01,,100.6421184,,1982-12-01,1982-12-01,1982-12-31,No information available,No information available,none,,,,31
1983-01-01,,100.91756,,1983-01-01,1983-01-01,1983-01-31,No information available,No information available,none,,,,31
1983-02-01,,102.2133514,,1983-02-01,1983-02-01,1983-02-28,No information available,No information available,none,,,,31
1983-03-01,,103.0803168,,1983-03-01,1983-03-01,1983-03-31,No information available,No information available,none,,,,31
1983-04-01,,101.621263,,1983-04-01,1983-04-01,1983-04-30,"The United States broiler market is not directly mentioned in the provided search results. However, it is mentioned that Mississippi accounts for at least 70 percent of national catfish output.","NASince the provided search result is not relevant to predicting United States Retail Broiler or Retail Chicken, I will provide ""NA"" for each part.;NA",search,1983-03-28,1983-04-03,27.0,31
1983-05-01,,103.1935616,,1983-05-01,1983-05-01,1983-05-31,NA (This source is not relevant to predicting United States Retail Broiler or Retail Chicken),NA (No long-term predictions can be made from this source);NA (No short-term predictions can be made from this source),search,1983-04-25,1983-05-01,30.0,31
1983-06-01,,101.455072,,1983-06-01,1983-06-01,1983-06-30,No information available,No information available,none,,,,31
1983-07-01,,105.7291622,,1983-07-01,1983-07-01,1983-07-31,No information available,No information available,none,,,,31
1983-08-01,,106.9239986,,1983-08-01,1983-08-01,1983-08-31,No information available,No information available,none,,,,31
1983-09-01,,110.2481296,,1983-09-01,1983-09-01,1983-09-30,The Federal Register provides a uniform system for making available to the public regulations and legal notices issued by federal agencies in the United States.,NA;NA,search,1983-09-12,1983-09-18,12.0,31
1983-10-01,,105.9618056,,1983-10-01,1983-10-01,1983-10-31,No information available,No information available,none,,,,31
1983-11-01,,108.3355678,,1983-11-01,1983-11-01,1983-11-30,No information available,No information available,none,,,,31
1983-12-01,,114.1350754,,1983-12-01,1983-12-01,1983-12-31,"The national average market price received by farmers was below the target price, deficiency payments were made to eligible producers in 1983.",NAHere is the summarized information:;NA,search,1983-12-12,1983-12-18,13.0,31
1984-01-01,,120.6977236,,1984-01-01,1984-01-01,1984-01-31,No information available,No information available,none,,,,31
1984-02-01,,125.5589072,,1984-02-01,1984-02-01,1984-02-29,No information available,No information available,none,,,,31
1984-03-01,,124.1408596,,1984-03-01,1984-03-01,1984-03-31,No information available,No information available,none,,,,31
1984-04-01,,122.974829,,1984-04-01,1984-04-01,1984-04-30,No information available,No information available,none,,,,31
1984-05-01,,119.2377432,,1984-05-01,1984-05-01,1984-05-31,No information available,No information available,none,,,,31
1984-06-01,,120.4480128,,1984-06-01,1984-06-01,1984-06-30,No information available,No information available,none,,,,31
1984-07-01,,120.8759936,,1984-07-01,1984-07-01,1984-07-31,No information available,No information available,none,,,,31
1984-08-01,,116.215539,,1984-08-01,1984-08-01,1984-08-31,No information available,No information available,none,,,,31
1984-09-01,,117.94234,,1984-09-01,1984-09-01,1984-09-30,No information available,No information available,none,,,,31
1984-10-01,,114.7877024,,1984-10-01,1984-10-01,1984-10-31,No information available,No information available,none,,,,31
1984-11-01,,114.512484,,1984-11-01,1984-11-01,1984-11-30,No information available,No information available,none,,,,31
1984-12-01,,113.9187144,,1984-12-01,1984-12-01,1984-12-31,NA (No relevant information found about the United States broiler market),"NA (No relevant information found to make long-term predictions about the United States broiler market) Since the provided search result is not directly related to United States Retail Broiler or Retail Chicken, I will indicate ""NA"" for all parts.;NA (No relevant information found to make short-term predictions about the United States broiler market)",search,1984-11-26,1984-12-02,29.0,31
1985-01-01,,116.610535,,1985-01-01,1985-01-01,1985-01-31,No information available,No information available,none,,,,31
1985-02-01,,116.3889212,,1985-02-01,1985-02-01,1985-02-28,No information available,No information available,none,,,,31
1985-03-01,,115.2830096,,1985-03-01,1985-03-01,1985-03-31,No information available,No information available,none,,,,31
1985-04-01,,113.0111368,,1985-04-01,1985-04-01,1985-04-30,"The United States exports agricultural products, including poultry, to various countries, and the demand for these products can be affected by economic growth rates in these countries.",NAHere is the summary of the useful filtered information:;NA,search,1985-04-15,1985-04-21,9.0,31
1985-05-01,,112.843024,,1985-05-01,1985-05-01,1985-05-31,No information available,No information available,none,,,,31
1985-06-01,,114.328076,,1985-06-01,1985-06-01,1985-06-30,No information available,No information available,none,,,,31
1985-07-01,,115.3055992,,1985-07-01,1985-07-01,1985-07-31,"The United States Department of Labor, Bureau of Labor Statistics data and USD market basket statistics show that retail poultry prices averaged a certain amount in 1984.",NAHere is the summarized information:;NA,search,1985-07-15,1985-07-21,10.0,31
1985-08-01,,113.2766336,,1985-08-01,1985-08-01,1985-08-31,No information available,No information available,none,,,,31
1985-09-01,,114.7296,,1985-09-01,1985-09-01,1985-09-30,No information available,No information available,none,,,,31
1985-10-01,,112.6197552,,1985-10-01,1985-10-01,1985-10-31,No information available,No information available,none,,,,31
1985-11-01,,115.8473632,,1985-11-01,1985-11-01,1985-11-30,No information available,No information available,none,,,,31
1985-12-01,,121.074474,,1985-12-01,1985-12-01,1985-12-31,"The number of Kentucky Fried Chicken (KFC) restaurants in the US in 1985 was 4,500.",NA;NA,search,1985-11-25,1985-12-01,30.0,31
1986-01-01,,119.5894266,,1986-01-01,1986-01-01,1986-01-31,The southeastern states produce 88 percent of U.S. broilers.,NAHere is the summary of the search results:;NA,search,1985-12-30,1986-01-05,26.0,31
1986-02-01,,117.1964574,,1986-02-01,1986-02-01,1986-02-28,No information available,No information available,none,,,,31
1986-03-01,,115.4630568,,1986-03-01,1986-03-01,1986-03-31,The United States was considered the world's low-cost producer of food in 1986.,NAThis search result appears to be unrelated to United States Retail Broiler or Retail Chicken. There is no useful information that can be gleaned from this result to make predictions about the topic. Here is the output:;NA,search,1986-03-24,1986-03-30,1.0,31
1986-04-01,,116.4438852,,1986-04-01,1986-04-01,1986-04-30,"The United States was a major player in global trade, with a significant market share in 1986.","NAThis search result does not provide any relevant information about United States Retail Broiler or Retail Chicken. The content appears to be a handbook for subsistence specialists in the US Coast Guard, discussing various topics such as cooking and food preparation. Here is the summary:;NA",search,1986-04-14,1986-04-20,10.0,31
1986-05-01,,116.486737,,1986-05-01,1986-05-01,1986-05-31,No information available,No information available,none,,,,31
1986-06-01,,121.9123852,,1986-06-01,1986-06-01,1986-06-30,No information available,No information available,none,,,,31
1986-07-01,,132.924856,,1986-07-01,1986-07-01,1986-07-31,The poultry prices in the United States saw a 6.2 percent gain in July 1986.,"NA Note: The provided search results do not contain sufficient information to make predictions about the United States broiler market, except for the fact that poultry prices saw a 6.2 percent gain in July 1986. The other results are unrelated to the broiler market.This search result is not relevant to United States Retail Broiler or Retail Chicken, as it discusses animal behavior and feral state of chickens, which is not directly related to retail broiler or chicken market. Here is the output:;NA",search,1986-07-07,1986-07-13,18.0,31
1986-08-01,,144.088662,,1986-08-01,1986-08-01,1986-08-31,No information available,No information available,none,,,,31
1986-09-01,,139.6933952,,1986-09-01,1986-09-01,1986-09-30,NA (No relevant information found about the United States broiler market situation),"NA (No relevant predictions can be made for the long-term future based on the provided search results) After reviewing the search results, I found that there is no relevant information related to United States Retail Broiler or Retail Chicken. The search results appear to be unrelated to the topic. Here is the output:;NA (No relevant predictions can be made for the short-term future based on the provided search results)",search,1986-09-15,1986-09-21,9.0,31
1986-10-01,,136.1910876,,1986-10-01,1986-10-01,1986-10-31,The United States is a major supplier of frozen fish fillets.,"As the southeastern United States recovers from the adverse weather, broiler production and prices may return to normal, potentially leading to a decrease in prices. Here is the summarized information:;Broiler prices may continue to rise in the short term due to the ongoing effects of adverse weather on production and supply.",search,1986-10-13,1986-10-19,12.0,31
1986-11-01,,137.6625264,,1986-11-01,1986-11-01,1986-11-30,No information available,No information available,none,,,,31
1986-12-01,,137.3675716,,1986-12-01,1986-12-01,1986-12-31,No information available,No information available,none,,,,31
1987-01-01,,130.620512,,1987-01-01,1987-01-01,1987-01-31,The Consumer Price Index (CPI) is a measure of the average change in the price paid by urban consumers for a fixed market basket of goods and services.,"NASince the provided search results are not directly related to United States Retail Broiler or Retail Chicken, I will indicate ""NA"" for most parts.;NA",search,1987-01-12,1987-01-18,13.0,31
1987-02-01,,128.6062912,,1987-02-01,1987-02-01,1987-02-28,The United States broiler market has seen an increase in demand due to hazards of contaminants in food.,"NAThis search result appears to be irrelevant to United States Retail Broiler or Retail Chicken. The document is an industrial waste treatment handbook from 1987, and the snippet provided does not contain any information related to retail broiler or chicken prices, market trends, or industry insights. Here is the output:;NA",search,1987-01-26,1987-02-01,27.0,31
1987-03-01,,126.4429248,,1987-03-01,1987-03-01,1987-03-31,No information available,No information available,none,,,,31
1987-04-01,,124.838605,,1987-04-01,1987-04-01,1987-04-30,"The United States Department of Agriculture has published a report on the chicken broiler industry, including its structure, production, and cost, in 1971.",NAHere is the summary:;NA,search,1987-04-13,1987-04-19,11.0,31
1987-05-01,,123.2568428,,1987-05-01,1987-05-01,1987-05-31,No information available,No information available,none,,,,31
1987-06-01,,121.884657,,1987-06-01,1987-06-01,1987-06-30,No information available,No information available,none,,,,31
1987-07-01,,119.9991864,,1987-07-01,1987-07-01,1987-07-31,The president of the National Broiler Council mentioned the growing U.S. market as a significant opportunity.,"NAThis search result is not relevant to United States Retail Broiler or Retail Chicken. It appears to be a news article from 1987 discussing unrelated topics such as a murder confession and liquor store hours on July 4. There is a brief mention of chicken being nutritious and safe when cooked and handled properly, but this is not useful information for predicting United States Retail Broiler or Retail Chicken. Here is the output:;NA",search,1987-06-29,1987-07-05,26.0,31
