MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date,fact,preds,text_source,text_start_date,text_end_date,text_age_days,text_window_days
20000104,Total,57.29,42.71,19.61,7.9,0.0,0.0,2000-01-04,2000-01-10,1,2000-01-04,2000-01-04,2000-01-10,"The contiguous United States experienced a warmer-than-normal monthly mean temperature in January 2000, ranking as one of the warmest on record.",NA;NA,search,2000-01-03,2000-01-09,1,31
20000111,Total,48.27,51.73,20.93,8.27,0.0,0.0,2000-01-11,2000-01-17,1,2000-01-11,2000-01-11,2000-01-17,"The contiguous United States experienced above-average precipitation in January 2000, particularly in eastern areas.","The long-term pattern of precipitation in the contiguous United States suggests that there may be a continuation of above-average precipitation in the next few months.;Based on the historical data, it is likely that the contiguous United States will experience above-average precipitation in the next 1-4 weeks.",search,2000-01-10,2000-01-16,1,31
20000118,Total,43.26,56.74,21.75,8.67,0.0,0.0,2000-01-18,2000-01-24,1,2000-01-18,2000-01-18,2000-01-24,The United States experiences spatial and temporal variations in streamflow.,NA;NA,search,2000-01-17,2000-01-23,1,31
20000125,Total,42.03,57.97,21.39,8.45,0.0,0.0,2000-01-25,2000-01-31,1,2000-01-25,2000-01-25,2000-01-31,"The contiguous U.S. averaged near normal for precipitation in January 2000, with about 10% of the country being much wetter than normal and about 7% being much drier than normal.","In the long term, it's difficult to predict a specific trend in precipitation patterns, but the expansion of drought areas and the decrease in severe to extreme wetness areas may suggest a drier-than-normal trend for the next 4-12 months.;Based on the current pattern, it's possible that the next 1-3 months may see continued variability in precipitation patterns, with some areas experiencing above-normal precipitation and others remaining dry.",report,2000-01-01,2000-01-31,0,31
20000201,Total,45.6,54.4,24.29,8.53,0.0,0.0,2000-02-01,2000-02-07,1,2000-02-01,2000-02-01,2000-02-07,"The precipitation has increased by ~10% across the contiguous USA since 1910, with an increase in heavy and extreme daily precipitation events.","In the next few months, it is possible that this trend will continue, leading to a wetter-than-average spring season in the contiguous US, with potential implications for agriculture, water resources, and extreme weather events.;Based on the trend, it is likely that the next 1-4 weeks will see above-average precipitation in the contiguous US, potentially leading to more frequent and intense weather events.",search,2000-01-31,2000-02-06,1,31
20000208,Total,46.5,53.5,24.65,9.22,0.0,0.0,2000-02-08,2000-02-14,1,2000-02-08,2000-02-08,2000-02-14,The data from February 2000 shows that convective precipitation was intermittent in the interior portions of the U.S.,NA;NA,search,2000-02-07,2000-02-13,1,31
20000215,Total,47.17,52.83,26.77,9.13,0.0,0.0,2000-02-15,2000-02-21,1,2000-02-15,2000-02-15,2000-02-21,The monthly mean temperature in the contiguous United States was warmer than normal in February 2000.,NA;NA,search,2000-02-14,2000-02-20,1,31
20000222,Total,52.59,47.41,25.74,9.15,0.0,0.0,2000-02-22,2000-02-28,1,2000-02-22,2000-02-22,2000-02-28,The continental U.S. except its far west has been shaped by the ceaseless work of rainfall and rivers.,"NA Note: The provided search results do not contain any relevant information about Monthly Contiguous U.S. Precipitation, making it impossible to provide insights, analysis, short-term predictions, or long-term predictions.;NA",search,2000-02-21,2000-02-27,1,31
20000229,Total,54.35,45.65,27.28,11.75,0.0,0.0,2000-02-29,2000-03-06,1,2000-02-29,2000-02-29,2000-03-06,"The contiguous United States has a wide range of temperatures and precipitation patterns, with California experiencing a Mediterranean climate with rainfall primarily between October and May.",NA;NA,search,2000-02-28,2000-03-05,1,31
20000307,Total,54.73,45.27,26.97,12.6,0.0,0.0,2000-03-07,2000-03-13,1,2000-03-07,2000-03-07,2000-03-13,Maximum precipitation volumes typically occur in the eastern portion of cyclonic type storms.,NA;NA,search,2000-03-06,2000-03-12,1,31
20000314,Total,59.44,40.56,25.6,13.43,0.0,0.0,2000-03-14,2000-03-20,1,2000-03-14,2000-03-14,2000-03-20,"The contiguous United States experienced varying levels of precipitation in March 2000, with some areas receiving above-average precipitation and others receiving below-average precipitation.","Long-term trends in extreme precipitation events in the contiguous United States suggest an increase in frequency and severity, which may impact future precipitation patterns. Note: The provided search results do not contain enough information to make short-term predictions (next 1-4 weeks) about Monthly Contiguous U.S. Precipitation.;NA",search,2000-03-13,2000-03-19,1,31
20000321,Total,59.74,40.26,25.01,13.06,0.0,0.0,2000-03-21,2000-03-27,1,2000-03-21,2000-03-21,2000-03-27,"The tree-ring data document a 16th century megadrought over North America, and longer tree-ring reconstructions of PDSI (Palmer Drought Severity Index) for the United States and precipitation for northwestern Mexico and western Canada indicate that the drought was widespread.",NA;NA,search,2000-03-20,2000-03-26,1,31
20000328,Total,61.97,38.03,22.27,10.42,0.0,0.0,2000-03-28,2000-04-03,1,2000-03-28,2000-03-28,2000-04-03,"The average annual precipitation in Carter County, Tennessee is 54 inches.",NA;NA,search,2000-03-27,2000-04-02,1,31
20000404,Total,59.35,40.65,21.5,12.08,0.0,0.0,2000-04-04,2000-04-10,1,2000-04-04,2000-04-04,2000-04-10,"The heavy rainfall and contiguous federal lands within Redwood National and State Parks are mentioned, indicating the importance of precipitation in the region.",NA;NA,search,2000-04-03,2000-04-09,1,31
20000411,Total,62.16,37.84,22.19,11.43,0.0,0.0,2000-04-11,2000-04-17,1,2000-04-11,2000-04-11,2000-04-17,The contiguous U.S. experienced above-normal precipitation in April 2000.,"In the long-term future (next few months), the contiguous U.S. may experience a shift in precipitation patterns due to changes in global climate phenomena, such as the transition from El Niño to La Niña.;In the short-term future (next 1-4 weeks), it is possible that the contiguous U.S. will continue to experience above-normal precipitation, especially if larger-scale climate patterns persist.",search,2000-04-10,2000-04-16,1,31
20000418,Total,60.64,39.36,22.35,12.2,0.0,0.0,2000-04-18,2000-04-24,1,2000-04-18,2000-04-18,2000-04-24,The National Weather Service provides monthly and annual precipitation data for the contiguous United States.,NA;NA,search,2000-04-17,2000-04-23,1,31
20000425,Total,63.2,36.8,20.42,10.91,1.24,0.0,2000-04-25,2000-05-01,1,2000-04-25,2000-04-25,2000-05-01,The contiguous USA has experienced an increase in average daily temperatures since 1900.,NA;NA,search,2000-04-24,2000-04-30,1,31
20000502,Total,62.61,37.39,21.58,11.05,1.39,0.0,2000-05-02,2000-05-08,1,2000-05-02,2000-05-02,2000-05-08,The contiguous United States has experienced heavy precipitation and high streamflow changes.,"In the long-term, it is possible that the contiguous United States will experience more frequent and intense extreme precipitation events due to climate change.;In the short-term, it is likely that the contiguous United States will continue to experience variable precipitation patterns, with some regions experiencing heavy precipitation and others experiencing drought.",search,2000-05-01,2000-05-07,1,31
20000509,Total,62.87,37.13,20.76,10.73,1.39,0.0,2000-05-09,2000-05-15,1,2000-05-09,2000-05-09,2000-05-15,The May 2000 monthly mean temperature averaged across the contiguous United States was based on preliminary data.,NA;NA,search,2000-05-08,2000-05-14,1,31
