date,value_1,value_2,value_3,value_4,value_5,OT
2000-01-04,42.71,19.61,7.9,0.0,0.0,57.29
2000-01-11,51.73,20.93,8.27,0.0,0.0,48.27
2000-01-18,56.74,21.75,8.67,0.0,0.0,43.26
2000-01-25,57.97,21.39,8.45,0.0,0.0,42.03
2000-02-01,54.4,24.29,8.53,0.0,0.0,45.6
2000-02-08,53.5,24.65,9.22,0.0,0.0,46.5
2000-02-15,52.83,26.77,9.13,0.0,0.0,47.17
2000-02-22,47.41,25.74,9.15,0.0,0.0,52.59
2000-02-29,45.65,27.28,11.75,0.0,0.0,54.35
2000-03-07,45.27,26.97,12.6,0.0,0.0,54.73
2000-03-14,40.56,25.6,13.43,0.0,0.0,59.44
2000-03-21,40.26,25.01,13.06,0.0,0.0,59.74
2000-03-28,38.03,22.27,10.42,0.0,0.0,61.97
2000-04-04,40.65,21.5,12.08,0.0,0.0,59.35
2000-04-11,37.84,22.19,11.43,0.0,0.0,62.16
2000-04-18,39.36,22.35,12.2,0.0,0.0,60.64
2000-04-25,36.8,20.42,10.91,1.24,0.0,63.2
2000-05-02,37.39,21.58,11.05,1.39,0.0,62.61
2000-05-09,37.13,20.76,10.73,1.39,0.0,62.87
2000-05-16,39.79,23.81,13.02,2.5,0.0,60.21
2000-05-23,35.37,19.99,11.84,3.0,0.0,64.63
2000-05-30,31.85,20.32,11.48,4.25,0.22,68.15
2000-06-06,31.39,17.97,10.7,4.52,0.25,68.61
2000-06-13,36.99,19.72,11.9,6.13,1.28,63.01
2000-06-20,35.75,19.13,11.86,5.62,1.37,64.25
2000-06-27,38.88,19.95,10.52,3.78,1.39,61.12
2000-07-04,42.2,14.97,6.91,3.61,1.05,57.8
2000-07-11,43.68,17.1,6.87,3.92,1.38,56.32
2000-07-18,44.35,18.87,7.42,4.57,1.77,55.65
2000-07-25,43.19,19.24,7.88,4.36,2.16,56.81
2000-08-01,41.67,20.29,8.74,4.13,2.01,58.33
2000-08-08,42.89,20.61,9.07,3.75,1.78,57.11
2000-08-15,43.3,23.11,10.95,3.69,1.66,56.7
2000-08-22,42.01,24.45,11.69,4.52,2.0,57.99
2000-08-29,47.15,27.02,13.24,5.74,2.06,52.85
2000-09-05,47.94,29.06,16.22,6.75,2.18,52.06
2000-09-12,47.14,32.28,20.28,7.44,1.43,52.86
2000-09-19,48.91,33.37,21.9,7.0,1.37,51.09
2000-09-26,48.42,32.09,20.06,5.76,0.62,51.58
2000-10-03,50.64,34.31,21.9,5.84,0.62,49.36
2000-10-10,49.82,34.34,20.33,4.91,0.39,50.18
2000-10-17,50.08,34.29,18.59,5.92,0.87,49.92
2000-10-24,53.77,32.84,14.42,6.42,1.41,46.23
2000-10-31,50.02,29.05,14.21,7.6,2.2,49.98
2000-11-07,37.93,16.67,10.4,6.26,0.83,62.07
2000-11-14,30.89,15.81,9.97,4.87,0.6,69.11
2000-11-21,29.95,14.8,8.94,2.21,0.0,70.05
2000-11-28,29.78,13.58,7.55,0.59,0.0,70.22
2000-12-05,28.39,14.02,7.57,0.68,0.11,71.61
2000-12-12,27.79,14.26,7.76,0.92,0.21,72.21
2000-12-19,24.61,12.82,6.29,0.74,0.25,75.39
2000-12-26,23.27,12.05,6.28,0.8,0.3,76.73
2001-01-02,24.47,11.65,5.14,0.8,0.28,75.53
2001-01-09,26.65,11.96,5.46,1.19,0.28,73.35
2001-01-16,25.29,12.07,5.13,1.29,0.28,74.71
2001-01-23,36.49,10.87,4.78,0.81,0.29,63.51
2001-01-30,32.66,9.92,4.19,0.74,0.29,67.34
2001-02-06,32.41,10.15,4.57,0.86,0.28,67.59
2001-02-13,31.25,18.67,4.72,1.35,0.51,68.75
2001-02-20,28.95,18.26,4.75,1.44,0.53,71.05
2001-02-27,29.22,18.22,4.76,1.45,0.61,70.78
2001-03-06,27.95,17.88,4.61,1.39,0.59,72.05
2001-03-13,28.55,17.7,7.91,1.33,0.59,71.45
2001-03-20,28.61,18.04,8.33,1.27,0.57,71.39
2001-03-27,31.55,17.76,8.33,1.23,0.54,68.45
2001-04-03,31.95,17.26,8.47,1.2,0.15,68.05
2001-04-10,29.74,17.78,8.48,1.2,0.17,70.26
2001-04-17,29.35,17.9,8.53,1.29,0.22,70.65
2001-04-24,29.48,18.55,8.63,1.29,0.22,70.52
2001-05-01,30.92,20.9,8.73,1.29,0.22,69.08
2001-05-08,39.74,23.89,11.03,1.66,0.22,60.26
2001-05-15,40.65,26.7,12.82,2.34,0.38,59.35
2001-05-22,38.72,26.73,11.17,2.15,0.41,61.28
2001-05-29,37.57,25.26,11.36,2.05,0.41,62.43
2001-06-05,33.25,22.62,10.98,1.96,0.33,66.75
2001-06-12,31.65,21.28,10.63,1.7,0.08,68.35
2001-06-19,35.89,20.52,12.13,1.61,0.0,64.11
2001-06-26,37.99,21.86,13.7,1.66,0.0,62.01
2001-07-03,40.35,22.56,14.89,3.35,0.0,59.65
2001-07-10,36.14,21.62,14.03,3.17,0.0,63.86
2001-07-17,41.41,21.95,14.81,2.97,0.0,58.59
