date,value_1,value_2,OT
1987-01-01,17345.9,30798.5,-13452.6
1987-02-01,18853.9,29810.3,-10956.4
1987-03-01,21835.5,32464.3,-10628.8
1987-04-01,20677.7,32291.1,-11613.4
1987-05-01,20759.5,33170.0,-12410.5
1987-06-01,21636.7,35358.0,-13721.3
1987-07-01,21379.0,35809.9,-14430.9
1987-08-01,20079.1,33826.2,-13747.1
1987-09-01,21183.7,33667.5,-12483.8
1987-10-01,22777.8,38075.6,-15297.8
1987-11-01,23278.7,35210.9,-11932.2
1987-12-01,24314.4,35758.7,-11444.3
1988-01-01,23161.6,33035.4,-9873.8
1988-02-01,24315.6,35494.1,-11178.5
1988-03-01,29342.8,36998.7,-7655.9
1988-04-01,26727.8,34961.1,-8233.3
1988-05-01,28192.7,36107.5,-7914.8
1988-06-01,26802.5,38540.8,-11738.3
1988-07-01,25186.4,35397.3,-10210.9
1988-08-01,26539.0,37545.4,-11006.4
1988-09-01,27066.6,36303.6,-9237.0
1988-10-01,28544.1,38795.2,-10251.1
1988-11-01,27565.2,38389.3,-10824.1
1988-12-01,28982.1,39383.9,-10401.8
1989-01-01,27540.8,36179.3,-8638.5
1989-02-01,27926.6,36548.8,-8622.2
1989-03-01,33243.3,40196.9,-6953.6
1989-04-01,31052.4,38243.2,-7190.8
1989-05-01,31495.7,40958.6,-9462.9
1989-06-01,31820.4,40544.2,-8723.8
1989-07-01,28707.7,39290.0,-10582.3
1989-08-01,29405.9,40440.1,-11034.2
1989-09-01,29709.5,38680.1,-8970.6
1989-10-01,31756.2,43536.2,-11780.0
1989-11-01,30279.0,41033.0,-10754.0
1989-12-01,30874.0,37560.5,-6686.5
1990-01-01,30664.1,40303.8,-9639.7
1990-02-01,30961.8,37111.9,-6150.1
1990-03-01,35970.6,42339.3,-6368.7
1990-04-01,32617.1,39143.9,-6526.8
1990-05-01,33538.7,40846.3,-7307.6
1990-06-01,34470.2,40946.2,-6476.0
1990-07-01,30736.2,41495.1,-10758.9
1990-08-01,31722.9,42231.8,-10508.9
1990-09-01,31444.3,40601.5,-9157.2
1990-10-01,35310.3,47394.8,-12084.5
1990-11-01,33267.0,43795.9,-10528.9
1990-12-01,32889.0,39100.1,-6211.1
1991-01-01,33165.0,40243.7,-7078.7
1991-02-01,32774.7,36975.9,-4201.2
1991-03-01,36819.8,38708.3,-1888.5
1991-04-01,36137.0,39547.7,-3410.7
1991-05-01,36023.6,40181.3,-4157.7
1991-06-01,35479.8,39428.2,-3948.4
1991-07-01,33443.9,41337.8,-7893.9
1991-08-01,33632.7,41082.4,-7449.7
1991-09-01,34391.3,41501.9,-7110.6
1991-10-01,37896.5,46631.0,-8734.5
1991-11-01,36969.6,41911.2,-4941.6
1991-12-01,34996.1,40903.7,-5907.6
1992-01-01,34514.3,39984.9,-5470.6
1992-02-01,36897.5,39075.0,-2177.5
1992-03-01,39816.9,43343.9,-3527.0
1992-04-01,37153.4,42924.3,-5770.9
1992-05-01,36736.5,42146.0,-5409.5
1992-06-01,39094.6,45811.5,-6716.9
1992-07-01,35979.2,45872.4,-9893.2
1992-08-01,34838.2,45055.0,-10216.8
1992-09-01,36811.6,46502.8,-9691.2
1992-10-01,40115.1,49820.2,-9705.1
1992-11-01,37670.5,46313.2,-8642.7
1992-12-01,38536.7,45812.5,-7275.8
1993-01-01,35957.9,42057.7,-6099.8
1993-02-01,36070.4,41816.7,-5746.3
1993-03-01,41998.5,50744.6,-8746.1
1993-04-01,39420.5,47850.1,-8429.6
1993-05-01,39869.7,46330.0,-6460.3
1993-06-01,38623.3,50361.4,-11738.1
1993-07-01,35464.2,48316.8,-12852.6
1993-08-01,36876.3,48610.1,-11733.8
1993-09-01,37955.5,50526.8,-12571.3
1993-10-01,41147.6,53889.3,-12741.7
1993-11-01,40293.8,51433.5,-11139.7
1993-12-01,41412.2,48719.2,-7307.0
1994-01-01,37560.5,46514.1,-8953.6
