CBSA,CBSA Code,date,OT,Category,Defining Parameter,Defining Site,Number of Sites Reporting,start_date,end_date,fact,preds,text_source,text_start_date,text_end_date,text_age_days,text_window_days
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-01,94,Moderate,CO,34-027-0003,23,1980-01-01,1980-01-01,No information available,No information available,none,,,,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-02,115,Unhealthy for Sensitive Groups,CO,34-027-0003,24,1980-01-02,1980-01-02,No information available,No information available,none,,,,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-03,95,Moderate,CO,34-027-0003,24,1980-01-03,1980-01-03,No information available,No information available,none,,,,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-04,135,Unhealthy for Sensitive Groups,CO,34-027-0003,25,1980-01-04,1980-01-04,No information available,No information available,none,,,,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-05,88,Moderate,CO,34-027-0003,25,1980-01-05,1980-01-05,No information available,No information available,none,,,,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-06,74,Moderate,NO2,36-059-0005,25,1980-01-06,1980-01-06,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.","It is likely that the focus on environmental quality and health will continue to grow, with more institutions and organizations taking steps to address these issues in the long term.;NA",search,1979-12-31,1980-01-06,0.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-07,81,Moderate,CO,36-059-0005,25,1980-01-07,1980-01-07,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.","It is likely that the focus on environmental quality and health will continue to grow, with more institutions and organizations taking steps to address these issues in the long term.;NA",search,1979-12-31,1980-01-06,1.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-08,90,Moderate,CO,36-061-0058,25,1980-01-08,1980-01-08,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.","It is likely that the focus on environmental quality and health will continue to grow, with more institutions and organizations taking steps to address these issues in the long term.;NA",search,1979-12-31,1980-01-06,2.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-09,95,Moderate,CO,34-023-2003,25,1980-01-09,1980-01-09,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.","It is likely that the focus on environmental quality and health will continue to grow, with more institutions and organizations taking steps to address these issues in the long term.;NA",search,1979-12-31,1980-01-06,3.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-10,101,Unhealthy for Sensitive Groups,CO,34-017-1002,25,1980-01-10,1980-01-10,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.","It is likely that the focus on environmental quality and health will continue to grow, with more institutions and organizations taking steps to address these issues in the long term.;NA",search,1979-12-31,1980-01-06,4.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-11,211,Very Unhealthy,CO,34-027-0003,25,1980-01-11,1980-01-11,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.","It is likely that the focus on environmental quality and health will continue to grow, with more institutions and organizations taking steps to address these issues in the long term.;NA",search,1979-12-31,1980-01-06,5.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-12,52,Moderate,CO,36-061-0062,25,1980-01-12,1980-01-12,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.","It is likely that the focus on environmental quality and health will continue to grow, with more institutions and organizations taking steps to address these issues in the long term.;NA",search,1979-12-31,1980-01-06,6.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-13,63,Moderate,CO,34-017-1002,25,1980-01-13,1980-01-13,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,0.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-14,180,Unhealthy,CO,34-027-0003,25,1980-01-14,1980-01-14,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,1.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-15,71,Moderate,CO,34-027-0003,24,1980-01-15,1980-01-15,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,2.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-16,161,Unhealthy,CO,34-027-0003,24,1980-01-16,1980-01-16,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,3.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-17,135,Unhealthy for Sensitive Groups,CO,34-027-0003,24,1980-01-17,1980-01-17,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,4.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-18,115,Unhealthy for Sensitive Groups,CO,34-025-2001,23,1980-01-18,1980-01-18,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,5.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-19,75,Moderate,CO,36-061-0062,23,1980-01-19,1980-01-19,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,6.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-20,52,Moderate,CO,36-061-0058,23,1980-01-20,1980-01-20,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,7.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-21,90,Moderate,CO,36-061-0058,24,1980-01-21,1980-01-21,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,8.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-22,100,Moderate,CO,34-027-0003,24,1980-01-22,1980-01-22,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,9.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-23,104,Unhealthy for Sensitive Groups,CO,36-061-0058,24,1980-01-23,1980-01-23,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,10.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-24,77,Moderate,CO,36-061-0058,25,1980-01-24,1980-01-24,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,11.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-25,95,Moderate,CO,34-025-2001,25,1980-01-25,1980-01-25,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,12.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-26,70,Moderate,CO,34-025-2001,25,1980-01-26,1980-01-26,NA (No objective facts about the Environment situation were found),"It is likely that environmental concerns will continue to be overlooked in the long term if there is no significant shift in public awareness and priority. Note: The provided search results were mainly news articles and publications from the 1980s, which did not provide much information about the Environment. As a result, most of the parts were marked as ""NA"" (Not Available).;NA (No short-term predictions can be made based on the provided information)",search,1980-01-07,1980-01-13,13.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-27,89,Moderate,NO2,36-059-0005,25,1980-01-27,1980-01-27,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",The continued exploitation of natural resources in sensitive ecosystems like Alaska's North Slope may lead to long-term environmental damage and devastating consequences for local communities.;NA,search,1980-01-21,1980-01-27,0.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-28,87,Moderate,CO,36-061-0058,25,1980-01-28,1980-01-28,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",The continued exploitation of natural resources in sensitive ecosystems like Alaska's North Slope may lead to long-term environmental damage and devastating consequences for local communities.;NA,search,1980-01-21,1980-01-27,1.0,31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-29,89,Moderate,CO,36-061-0058,25,1980-01-29,1980-01-29,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",The continued exploitation of natural resources in sensitive ecosystems like Alaska's North Slope may lead to long-term environmental damage and devastating consequences for local communities.;NA,search,1980-01-21,1980-01-27,2.0,31
