date,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,OT
1997-09-29,1.10148,179.0,0.0,157.0,205.0,0.0,29.0,570.0,192.0,46842.0,1.21686
1997-10-06,1.20007,199.0,0.0,151.0,242.0,0.0,23.0,615.0,191.0,48023.0,1.28064
1997-10-13,1.37876,228.0,0.0,153.0,266.0,0.0,34.0,681.0,219.0,54961.0,1.23906
1997-10-20,1.1992,188.0,0.0,193.0,236.0,0.0,36.0,653.0,213.0,57044.0,1.14473
1997-10-27,1.65618,217.0,0.0,162.0,280.0,0.0,41.0,700.0,213.0,55506.0,1.26112
1997-11-03,1.41326,178.0,0.0,148.0,281.0,0.0,48.0,655.0,195.0,51062.0,1.28275
1997-11-10,1.9868,294.0,0.0,240.0,328.0,0.0,70.0,932.0,248.0,64463.0,1.44579
1997-11-17,2.44749,288.0,0.0,293.0,456.0,0.0,63.0,1100.0,256.0,66749.0,1.64796
1997-11-24,1.73901,268.0,0.0,206.0,343.0,0.0,69.0,886.0,252.0,52890.0,1.67517
1997-12-01,1.93919,299.0,0.0,282.0,415.0,0.0,102.0,1098.0,253.0,67887.0,1.61739
1997-12-08,2.28166,346.0,0.0,268.0,388.0,0.0,81.0,1083.0,242.0,61314.0,1.76632
1997-12-15,2.50761,348.0,0.0,235.0,362.0,0.0,59.0,1004.0,190.0,47719.0,2.10398
1997-12-22,4.11352,510.0,0.0,404.0,492.0,0.0,113.0,1519.0,251.0,48429.0,3.13655
1997-12-29,4.99885,609.0,0.0,671.5,693.0,0.0,207.0,2180.5,252.0,59780.5,3.6553750000000003
1998-01-05,4.19434,690.0,0.0,654.0,1121.0,0.0,148.0,2613.0,255.0,70828.0,3.68922
1998-01-12,5.42123,856.0,0.0,679.0,1440.0,0.0,151.0,3126.0,245.0,67898.0,4.60396
1998-01-19,5.66137,824.0,0.0,817.0,1600.0,0.0,196.0,3437.0,245.0,69999.0,4.91007
1998-01-26,5.97802,881.0,0.0,769.0,1471.0,0.0,233.0,3354.0,239.0,69486.0,4.82687
1998-02-02,4.7358,699.0,0.0,671.0,1101.0,0.0,146.0,2617.0,234.0,66322.0,3.9459
1998-02-09,3.44581,457.0,0.0,523.0,849.0,0.0,119.0,1948.0,223.0,62675.0,3.1081
1998-02-16,2.47799,313.0,0.0,330.0,534.0,0.0,112.0,1289.0,217.0,60247.0,2.13953
1998-02-23,1.65732,241.0,0.0,214.0,308.0,0.0,64.0,827.0,211.0,57449.0,1.43954
1998-03-02,1.96952,201.0,0.0,183.0,305.0,0.0,59.0,748.0,208.0,50582.0,1.47879
1998-03-09,1.58545,162.0,0.0,123.0,249.0,0.0,51.0,585.0,200.0,53889.0,1.08556
1998-03-16,1.80474,156.0,0.0,93.0,196.0,0.0,41.0,486.0,177.0,48699.0,0.997967
1998-03-23,1.04624,90.0,0.0,92.0,144.0,0.0,32.0,358.0,182.0,48105.0,0.744205
1998-03-30,1.4004,82.0,0.0,93.0,152.0,0.0,41.0,368.0,170.0,42959.0,0.856631
1998-04-06,0.79687,64.0,0.0,73.0,106.0,0.0,19.0,262.0,156.0,42140.0,0.621737
1998-04-13,0.717097,82.0,0.0,68.0,100.0,0.0,15.0,265.0,155.0,39496.0,0.670954
1998-04-20,1.00238,58.0,0.0,61.0,120.0,0.0,27.0,266.0,148.0,38324.0,0.694082
1998-04-27,0.908403,39.0,0.0,64.0,93.0,0.0,13.0,209.0,136.0,35821.0,0.583457
1998-05-04,0.443014,79.0,0.0,37.0,61.0,0.0,9.0,186.0,131.0,32200.0,0.57764
1998-05-11,0.638986,54.0,0.0,40.0,52.0,0.0,19.0,165.0,120.0,27263.0,0.605216
1998-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
