date,OT
1998-09-01,805651.0
1998-10-01,82522489.0
1998-11-01,9536781.0
1998-12-01,52751300.0
1999-01-01,24878097.0
1999-02-01,126717273.0
1999-03-01,110398898.0
1999-04-01,71584821.0
1999-05-01,47599660.0
1999-06-01,42589476.0
1999-07-01,49197126.0
1999-08-01,58095044.0
1999-09-01,49706536.0
1999-10-01,69598191.0
1999-11-01,122062231.0
1999-12-01,76194245.0
2000-01-01,104092957.0
2000-02-01,116832758.0
2000-03-01,101307761.0
2000-04-01,68602160.0
2000-05-01,89463498.0
2000-06-01,33191224.0
2000-07-01,39359592.0
2000-08-01,65042923.0
2000-09-01,130300662.0
2000-10-01,40504617.0
2000-11-01,140406792.0
2000-12-01,105902995.0
2001-01-01,53201307.0
2001-02-01,75250046.0
2001-03-01,253519064.0
2001-04-01,128902292.0
2001-05-01,105717364.0
2001-06-01,85664740.0
2001-07-01,96335964.0
2001-08-01,109690069.0
2001-09-01,480079711.0
2001-10-01,193985674.0
2001-11-01,98834991.0
2001-12-01,77878870.0
2002-01-01,72314436.0
2002-02-01,323759888.0
2002-03-01,176923635.0
2002-04-01,247574801.0
2002-05-01,276490373.0
2002-06-01,251609426.0
2002-07-01,85367859.0
2002-08-01,290626645.0
2002-09-01,79985198.0
2002-10-01,146941089.0
2002-11-01,109638959.0
2002-12-01,142789123.0
2003-01-01,260195230.0
2003-02-01,131922024.0
2003-03-01,493310356.0
2003-04-01,138349442.0
2003-05-01,132423736.0
2003-06-01,116112116.0
2003-07-01,67792812.0
2003-08-01,1352561070.0
2003-09-01,1206244241.0
2003-10-01,168157654.0
2003-11-01,184397992.0
2003-12-01,123026144.0
2004-01-01,137229787.0
2004-02-01,180432881.0
2004-03-01,151745862.0
2004-04-01,200996491.0
2004-05-01,27226326.0
2004-06-01,39461917.0
2004-07-01,40929612.0
2004-08-01,61492110.0
2004-09-01,18032532.0
2004-10-01,271407452.0
2004-11-01,265721527.0
2004-12-01,207852428.0
2005-01-01,240371996.0
2005-02-01,324158546.0
2005-03-01,357193686.0
2005-04-01,315338358.0
2005-05-01,344046673.0
2005-06-01,267721821.0
2005-07-01,297710056.0
2005-08-01,586795970.0
2005-09-01,1379041796.0
2005-10-01,914419484.0
2005-11-01,583910095.0
2005-12-01,704235453.0
2006-01-01,612611225.0
2006-02-01,526306771.0
2006-03-01,1484439479.0
2006-04-01,1070282572.0
2006-05-01,1276519827.0
2006-06-01,1051765227.0
2006-07-01,447496606.0
2006-08-01,674056204.0
2006-09-01,531860613.0
2006-10-01,799601393.0
2006-11-01,615538437.0
2006-12-01,157415279.0
2007-01-01,170147696.0
2007-02-01,236719341.0
2007-03-01,553822443.0
2007-04-01,532814695.0
2007-05-01,287659459.0
2007-06-01,220855449.0
2007-07-01,196447065.0
2007-08-01,343974381.0
2007-09-01,212612327.0
2007-10-01,263508453.0
2007-11-01,462481561.0
2007-12-01,259016112.0
2008-01-01,318877644.0
2008-02-01,235827614.0
2008-03-01,332518690.0
2008-04-01,327927689.0
2008-05-01,144886110.0
2008-06-01,269442265.0
2008-07-01,471879662.0
2008-08-01,339294518.0
2008-09-01,319512279.0
2008-10-01,448758799.0
2008-11-01,443670939.0
2008-12-01,675925928.0
2009-01-01,364704389.0
2009-02-01,438445357.0
2009-03-01,601718759.0
2009-04-01,618616169.0
2009-05-01,513403908.0
2009-06-01,668556959.0
2009-07-01,331548178.0
2009-08-01,438266999.0
2009-09-01,608758155.0
2009-10-01,446985615.0
2009-11-01,191644087.0
2009-12-01,471941319.0
2010-01-01,185082476.0
2010-02-01,52055252.0
2010-03-01,75519706.0
2010-04-01,43332369.0
2010-05-01,57668623.0
2010-06-01,73002463.0
2010-07-01,155266100.0
2010-08-01,1047306636.0
2010-09-01,1840958984.0
2010-10-01,258990943.0
2010-11-01,221155358.0
2010-12-01,169272341.0
2011-01-01,167026302.0
2011-02-01,210130286.0
2011-03-01,372411007.0
2011-04-01,139495956.0
2011-05-01,248568252.0
2011-06-01,240911786.0
2011-07-01,215716981.0
2011-08-01,360778822.0
2011-09-01,215516400.0
2011-10-01,514873626.0
