date,start_date,end_date,OT,fact,preds,text_source,text_start_date,text_end_date,text_age_days,text_window_days
1948-01-01,1948-01-01,1948-01-31,4.0,No information available,No information available,none,,,,31
1948-02-01,1948-02-01,1948-02-29,4.7,No information available,No information available,none,,,,31
1948-03-01,1948-03-01,1948-03-31,4.5,No information available,No information available,none,,,,31
1948-04-01,1948-04-01,1948-04-30,4.0,No information available,No information available,none,,,,31
1948-05-01,1948-05-01,1948-05-31,3.4,No information available,No information available,none,,,,31
1948-06-01,1948-06-01,1948-06-30,3.9,No information available,No information available,none,,,,31
1948-07-01,1948-07-01,1948-07-31,3.9,No information available,No information available,none,,,,31
1948-08-01,1948-08-01,1948-08-31,3.6,No information available,No information available,none,,,,31
1948-09-01,1948-09-01,1948-09-30,3.4,No information available,No information available,none,,,,31
1948-10-01,1948-10-01,1948-10-31,2.9,No information available,No information available,none,,,,31
1948-11-01,1948-11-01,1948-11-30,3.3,No information available,No information available,none,,,,31
1948-12-01,1948-12-01,1948-12-31,3.6,No information available,No information available,none,,,,31
1949-01-01,1949-01-01,1949-01-31,5.0,No information available,No information available,none,,,,31
1949-02-01,1949-02-01,1949-02-28,5.8,No information available,No information available,none,,,,31
1949-03-01,1949-03-01,1949-03-31,5.6,No information available,No information available,none,,,,31
1949-04-01,1949-04-01,1949-04-30,5.4,No information available,No information available,none,,,,31
1949-05-01,1949-05-01,1949-05-31,5.7,No information available,No information available,none,,,,31
1949-06-01,1949-06-01,1949-06-30,6.4,No information available,No information available,none,,,,31
1949-07-01,1949-07-01,1949-07-31,7.0,No information available,No information available,none,,,,31
1949-08-01,1949-08-01,1949-08-31,6.3,No information available,No information available,none,,,,31
1949-09-01,1949-09-01,1949-09-30,5.9,No information available,No information available,none,,,,31
1949-10-01,1949-10-01,1949-10-31,6.1,No information available,No information available,none,,,,31
1949-11-01,1949-11-01,1949-11-30,5.7,No information available,No information available,none,,,,31
1949-12-01,1949-12-01,1949-12-31,6.0,No information available,No information available,none,,,,31
1950-01-01,1950-01-01,1950-01-31,7.6,No information available,No information available,none,,,,31
1950-02-01,1950-02-01,1950-02-28,7.9,No information available,No information available,none,,,,31
1950-03-01,1950-03-01,1950-03-31,7.1,No information available,No information available,none,,,,31
1950-04-01,1950-04-01,1950-04-30,6.0,No information available,No information available,none,,,,31
1950-05-01,1950-05-01,1950-05-31,5.3,No information available,No information available,none,,,,31
1950-06-01,1950-06-01,1950-06-30,5.6,No information available,No information available,none,,,,31
1950-07-01,1950-07-01,1950-07-31,5.3,No information available,No information available,none,,,,31
1950-08-01,1950-08-01,1950-08-31,4.1,No information available,No information available,none,,,,31
1950-09-01,1950-09-01,1950-09-30,4.0,No information available,No information available,none,,,,31
1950-10-01,1950-10-01,1950-10-31,3.3,No information available,No information available,none,,,,31
1950-11-01,1950-11-01,1950-11-30,3.8,No information available,No information available,none,,,,31
1950-12-01,1950-12-01,1950-12-31,3.9,No information available,No information available,none,,,,31
1951-01-01,1951-01-01,1951-01-31,4.4,No information available,No information available,none,,,,31
1951-02-01,1951-02-01,1951-02-28,4.2,No information available,No information available,none,,,,31
1951-03-01,1951-03-01,1951-03-31,3.8,No information available,No information available,none,,,,31
1951-04-01,1951-04-01,1951-04-30,3.2,No information available,No information available,none,,,,31
1951-05-01,1951-05-01,1951-05-31,2.9,No information available,No information available,none,,,,31
1951-06-01,1951-06-01,1951-06-30,3.4,No information available,No information available,none,,,,31
1951-07-01,1951-07-01,1951-07-31,3.3,No information available,No information available,none,,,,31
1951-08-01,1951-08-01,1951-08-31,2.9,No information available,No information available,none,,,,31
1951-09-01,1951-09-01,1951-09-30,3.0,No information available,No information available,none,,,,31
1951-10-01,1951-10-01,1951-10-31,2.8,No information available,No information available,none,,,,31
1951-11-01,1951-11-01,1951-11-30,3.2,No information available,No information available,none,,,,31
1951-12-01,1951-12-01,1951-12-31,2.9,No information available,No information available,none,,,,31
1952-01-01,1952-01-01,1952-01-31,3.7,No information available,No information available,none,,,,31
1952-02-01,1952-02-01,1952-02-29,3.8,No information available,No information available,none,,,,31
1952-03-01,1952-03-01,1952-03-31,3.3,No information available,No information available,none,,,,31
1952-04-01,1952-04-01,1952-04-30,3.0,No information available,No information available,none,,,,31
1952-05-01,1952-05-01,1952-05-31,2.9,No information available,No information available,none,,,,31
1952-06-01,1952-06-01,1952-06-30,3.2,No information available,No information available,none,,,,31
1952-07-01,1952-07-01,1952-07-31,3.3,No information available,No information available,none,,,,31
1952-08-01,1952-08-01,1952-08-31,3.1,No information available,No information available,none,,,,31
1952-09-01,1952-09-01,1952-09-30,2.7,No information available,No information available,none,,,,31
1952-10-01,1952-10-01,1952-10-31,2.4,No information available,No information available,none,,,,31
1952-11-01,1952-11-01,1952-11-30,2.5,No information available,No information available,none,,,,31
1952-12-01,1952-12-01,1952-12-31,2.5,No information available,No information available,none,,,,31
1953-01-01,1953-01-01,1953-01-31,3.4,No information available,No information available,none,,,,31
1953-02-01,1953-02-01,1953-02-28,3.2,No information available,No information available,none,,,,31
1953-03-01,1953-03-01,1953-03-31,2.9,No information available,No information available,none,,,,31
1953-04-01,1953-04-01,1953-04-30,2.8,No information available,No information available,none,,,,31
1953-05-01,1953-05-01,1953-05-31,2.5,No information available,No information available,none,,,,31
1953-06-01,1953-06-01,1953-06-30,2.7,No information available,No information available,none,,,,31
1953-07-01,1953-07-01,1953-07-31,2.7,No information available,No information available,none,,,,31
1953-08-01,1953-08-01,1953-08-31,2.4,No information available,No information available,none,,,,31
1953-09-01,1953-09-01,1953-09-30,2.6,No information available,No information available,none,,,,31
1953-10-01,1953-10-01,1953-10-31,2.5,No information available,No information available,none,,,,31
1953-11-01,1953-11-01,1953-11-30,3.2,No information available,No information available,none,,,,31
1953-12-01,1953-12-01,1953-12-31,4.2,No information available,No information available,none,,,,31
1954-01-01,1954-01-01,1954-01-31,5.7,No information available,No information available,none,,,,31
1954-02-01,1954-02-01,1954-02-28,6.3,No information available,No information available,none,,,,31
1954-03-01,1954-03-01,1954-03-31,6.4,No information available,No information available,none,,,,31
1954-04-01,1954-04-01,1954-04-30,6.1,No information available,No information available,none,,,,31
1954-05-01,1954-05-01,1954-05-31,5.7,No information available,No information available,none,,,,31
1954-06-01,1954-06-01,1954-06-30,5.7,No information available,No information available,none,,,,31
1954-07-01,1954-07-01,1954-07-31,5.7,No information available,No information available,none,,,,31
1954-08-01,1954-08-01,1954-08-31,5.4,No information available,No information available,none,,,,31
1954-09-01,1954-09-01,1954-09-30,5.3,No information available,No information available,none,,,,31
1954-10-01,1954-10-01,1954-10-31,4.6,No information available,No information available,none,,,,31
1954-11-01,1954-11-01,1954-11-30,4.9,No information available,No information available,none,,,,31
1954-12-01,1954-12-01,1954-12-31,4.8,No information available,No information available,none,,,,31
1955-01-01,1955-01-01,1955-01-31,5.8,No information available,No information available,none,,,,31
