OT,Date,start_date,date,end_date,fact,preds,text_source,text_start_date,text_end_date,text_age_days,text_window_days
80173,1970-01-01,1970-01-01,1970-01-01,1970-01-31,No information available,No information available,none,,,,31
77442,1970-02-01,1970-02-01,1970-02-01,1970-02-28,No information available,No information available,none,,,,31
90223,1970-03-01,1970-03-01,1970-03-01,1970-03-31,No information available,No information available,none,,,,31
89956,1970-04-01,1970-04-01,1970-04-01,1970-04-30,No information available,No information available,none,,,,31
97972,1970-05-01,1970-05-01,1970-05-01,1970-05-31,No information available,No information available,none,,,,31
100035,1970-06-01,1970-06-01,1970-06-01,1970-06-30,No information available,No information available,none,,,,31
106392,1970-07-01,1970-07-01,1970-07-01,1970-07-31,No information available,No information available,none,,,,31
106969,1970-08-01,1970-08-01,1970-08-01,1970-08-31,No information available,No information available,none,,,,31
95254,1970-09-01,1970-09-01,1970-09-01,1970-09-30,No information available,No information available,none,,,,31
96317,1970-10-01,1970-10-01,1970-10-01,1970-10-31,No information available,No information available,none,,,,31
89684,1970-11-01,1970-11-01,1970-11-01,1970-11-30,No information available,No information available,none,,,,31
89911,1970-12-01,1970-12-01,1970-12-01,1970-12-31,No information available,No information available,none,,,,31
85336,1971-01-01,1971-01-01,1971-01-01,1971-01-31,No information available,No information available,none,,,,31
80118,1971-02-01,1971-02-01,1971-02-01,1971-02-28,No information available,No information available,none,,,,31
92974,1971-03-01,1971-03-01,1971-03-01,1971-03-31,No information available,No information available,none,,,,31
98106,1971-04-01,1971-04-01,1971-04-01,1971-04-30,No information available,No information available,none,,,,31
103655,1971-05-01,1971-05-01,1971-05-01,1971-05-31,No information available,No information available,none,,,,31
105433,1971-06-01,1971-06-01,1971-06-01,1971-06-30,No information available,No information available,none,,,,31
112466,1971-07-01,1971-07-01,1971-07-01,1971-07-31,No information available,No information available,none,,,,31
112642,1971-08-01,1971-08-01,1971-08-01,1971-08-31,No information available,No information available,none,,,,31
101290,1971-09-01,1971-09-01,1971-09-01,1971-09-30,No information available,No information available,none,,,,31
102525,1971-10-01,1971-10-01,1971-10-01,1971-10-31,No information available,No information available,none,,,,31
